ProjectRegion,Site Code,siteid,sitename,stationid,habitatid,length,offshoreDepth,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
FKNMS,7D2,75,Tennessee Deep,754,OD,23,43,24.7527,-80.7578,24,45.162,-80,45.468
FKNMS,7S2,55,Tennessee Shallow,551,OS,24,21,24.745,-80.7812,24,44.7,-80,46.872
FKNMS,7S2,55,Tennessee Shallow,552,OS,23,21,24.745,-80.7812,24,44.7,-80,46.872
FKNMS,7S2,55,Tennessee Shallow,553,OS,23,21,24.745,-80.7812,24,44.7,-80,46.872
FKNMS,7S2,55,Tennessee Shallow,554,OS,22,21,24.745,-80.7812,24,44.7,-80,46.872
NPSDT,1PC,29,Texas Rock,291,P,19,34,24.6805,-82.8853,24,40.83,-82,53.118
NPSDT,1PC,29,Texas Rock,292,P,23,46,24.6805,-82.8853,24,40.83,-82,53.118
NPSDT,1PC,29,Texas Rock,293,P,19,50,24.6805,-82.8853,24,40.83,-82,53.118
NPSDT,1PC,29,Texas Rock,294,P,27,44,24.6805,-82.8853,24,40.83,-82,53.118
NPSDT,1PA,27,The Maze,271,P,21,42,24.609,-82.9496,24,36.54,-82,56.976
NPSDT,1PA,27,The Maze,272,P,23,38,24.609,-82.9496,24,36.54,-82,56.976
NPSDT,1PA,27,The Maze,273,P,24,41,24.609,-82.9496,24,36.54,-82,56.976
NPSDT,1PA,27,The Maze,274,P,23,30,24.609,-82.9496,24,36.54,-82,56.976
FKNMS,7P4,24,Thor,241,P,23,18,24.6715,-81.0506,24,40.29,-81,3.036
FKNMS,7P4,24,Thor,242,P,19,21,24.6715,-81.0506,24,40.29,-81,3.036
FKNMS,7P4,24,Thor,243,P,19,21,24.6715,-81.0506,24,40.29,-81,3.036
FKNMS,7P4,24,Thor,244,P,21,18,24.6715,-81.0506,24,40.29,-81,3.036
FKNMS,9P1,30,Turtle,301,P,22,13,25.2947,-80.2191,25,17.682,-80,13.146
FKNMS,9P1,30,Turtle,302,P,22,18,25.2947,-80.2191,25,17.682,-80,13.146
FKNMS,9P1,30,Turtle,303,P,22,23,25.2953,-80.2174,25,17.718,-80,13.044
FKNMS,9P1,30,Turtle,304,P,23,22,25.2953,-80.2174,25,17.718,-80,13.044
FKNMS,9P5,21,Two Patches,211,P,21,8,25.0219,-80.439,25,1.314,-80,26.34
FKNMS,9P5,21,Two Patches,212,P,21,9,25.0219,-80.439,25,1.314,-80,26.34
FKNMS,9P5,21,Two Patches,213,P,23,7,25.0219,-80.439,25,1.314,-80,26.34
FKNMS,9P5,21,Two Patches,214,P,23,8,25.0219,-80.439,25,1.314,-80,26.34
FKNMS,7P1,34,West Turtle Shoal,341,P,22,22,24.6993,-80.9669,24,41.958,-80,58.014
FKNMS,7P1,34,West Turtle Shoal,342,P,22,22,24.6993,-80.9669,24,41.958,-80,58.014
FKNMS,7P1,34,West Turtle Shoal,343,P,22,24,24.6993,-80.9669,24,41.958,-80,58.014
FKNMS,7P1,34,West Turtle Shoal,344,P,22,22,24.6993,-80.9669,24,41.958,-80,58.014
FKNMS,5P1,36,West Washer Women,361,P,22,23,24.5475,-81.5866,24,32.85,-81,35.196
FKNMS,5P1,36,West Washer Women,362,P,23,25,24.5475,-81.5866,24,32.85,-81,35.196
FKNMS,5P1,36,West Washer Women,363,P,23,24,24.5475,-81.5866,24,32.85,-81,35.196
FKNMS,5P1,36,West Washer Women,364,P,21,22,24.5475,-81.5866,24,32.85,-81,35.196
FKNMS,5P2,37,Western Head,371,P,19,34,24.4977,-81.8056,24,29.862,-81,48.336
FKNMS,5P2,37,Western Head,372,P,22,35,24.4977,-81.8056,24,29.862,-81,48.336
FKNMS,5P2,37,Western Head,373,P,22,29,24.4977,-81.8056,24,29.862,-81,48.336
FKNMS,5P2,37,Western Head,374,P,23,26,24.4977,-81.8056,24,29.862,-81,48.336
FKNMS,5D4,79,Western Sambo Deep,791,OD,22,40,24.478,-81.7171,24,28.68,-81,43.026
FKNMS,5D4,79,Western Sambo Deep,792,OD,20,40,24.478,-81.7171,24,28.68,-81,43.026
FKNMS,5D4,79,Western Sambo Deep,793,OD,26,27,24.4796,-81.7142,24,28.776,-81,42.852
FKNMS,5D4,79,Western Sambo Deep,794,OD,22,29,24.4796,-81.7142,24,28.776,-81,42.852
FKNMS,5S4,59,Western Sambo Shallow,591,OS,22,14,24.4796,-81.7176,24,28.776,-81,43.056
FKNMS,5S4,59,Western Sambo Shallow,592,OS,24,17,24.4796,-81.7176,24,28.776,-81,43.056
FKNMS,5S4,59,Western Sambo Shallow,593,OS,24,9,24.4798,-81.7158,24,28.788,-81,42.948
FKNMS,5S4,59,Western Sambo Shallow,594,OS,21,9,24.4798,-81.7158,24,28.788,-81,42.948
NPSDT/FKNMS,1P1,41,White Shoal,411,P,23,29,24.6414,-82.8962,24,38.484,-82,53.772
NPSDT/FKNMS,1P1,41,White Shoal,412,P,23,24,24.6414,-82.8962,24,38.484,-82,53.772
NPSDT/FKNMS,1P1,41,White Shoal,413,P,22,18,24.6414,-82.8962,24,38.484,-82,53.772
NPSDT/FKNMS,1P1,41,White Shoal,414,P,23,15,24.6423,-82.8971,24,38.538,-82,53.826
FKNMS,5P5,25,Wonderland,251,P,23,21,24.5603,-81.5021,24,33.618,-81,30.126
FKNMS,5P5,25,Wonderland,252,P,21,18,24.5603,-81.5021,24,33.618,-81,30.126
FKNMS,5P5,25,Wonderland,253,P,23,18,24.5603,-81.5021,24,33.618,-81,30.126
FKNMS,5P5,25,Wonderland,254,P,23,18,24.5603,-81.5021,24,33.618,-81,30.126
